Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
足;ソク;あし、た.りる、た.る、た.す;あ, あす, おす, たらし;leg, foot, be sufficient;口: mouth;足;あし・あしへん;(none);象形 Pictographic;leg;Captain Ahab lost his leg to the great white whale´s mouth and had to mend it with a peg leg.;I´ll use my mouth to mend your leg, I´ll kiss it all better :).
見;ケン;み.る、み.える、み.せる;;see, hopes, chances, idea, opinion, look at, visible;目: eye, class, look, insight, experience, care, favor;見;みる;(none);象形 Pictographic;see;As a primitive, this is Mike Wazowski from Monsters Inc. (the giant eyeball with legs...) Makes for easy stories later on.;Eyes and legs are all you need to see the world.
音;オン、イン、-ノン;おと、ね;お, と;sound, noise;立: stand up, rise, set up, erect<br>日: day, sun, Japan, counter for days;音;おと・おとへん;(none);会意 Compound Ideographic;sound;If you were standing on the sun, believe me, you´d be making sound.;The tongue wagging in a mouth produces a very high-pitched sound, breaking a nearby vase.
力;リョク、リキ、リイ;ちから;じから, つとむ;power, strong, strain, bear up, exert;力: power, force, katakana ka radical (no. 19);力;ちから・りきづくり;(none);象形 Pictographic;power;"I always refer to the power of the KATAKANA ""KA"".";I have a very powerful muscle カ in my driveway!
気;キ、ケ;いき;;spirit, mind;气: spirit, steam radical (no. 84)<br>乂: mow, cut grass, subdue;气;きがまえ;氣;形声 Phonetic;spirit;You´re reclining on the floor trying to hook a sheaf with a small hook through the cracks. That you´ve been doing this for seven hours without success shows your burning spirit.;Captain Hook, his spirit crushed, is lying on the ground cursing Wolverine who has defeated him with his far superior claws.
円;エン;まる.い、まる、まど、まど.か、まろ.やか;つぶら, のぶ, まどか, みつ;circle, yen, round;冂: upside-down box radical (no. 13);囗;くに・くにがまえ;圓;形声 Phonetic;circle;The shape of a Yen coin.;"A poor old man is almost killing himself trying to lift a huge glass hood with his cane (using it as a lever), to get to just one yen coin. Note : the kanji refers to a circular, round object, but also to the Japanese currency (pronounced ""en"")."
入;ニュウ、ジュ;い.る、-い.る、-い.り、い.れる、-い.れ、はい.る;いり, いる, に, の, りり;enter, insert;入: enter, enter radical (no. 11);入;いる・にゅう・いりがしら・いりやね;(none);象形 Pictographic;enter;Pictograph, see book. * As a primitive, using the image of going through a door, even one that stands alone with the frame and no wall around, helps flesh out the primitive “enter”.;Person enters stage left…
出;シュツ、スイ;で.る、-で、だ.す、-だ.す、い.でる、い.だす;いず, いづ, いで, じ, すっ, すつ, てん;exit, leave;山: mountain<br>凵: open box enclosure, open box radical (no. 17);凵;かんにょう・うけばこ・かんがまえ;(none);象形 Pictographic;exit;Suddenly, a cactus comes out of the ground with a sign that reads: exit. Now you can leave the desert! (Note: giving this primitive the meaning ´cactus´ can be useful later).;The exit lays between these two mountains.
立;リツ、リュウ、リットル;た.つ、-た.つ、た.ち-、た.てる、-た.てる、た.て-、たて-、-た.て、-だ.て、-だ.てる;たち, たっ, たつ, だて, つい;stand up;亠: kettle lid radical (no. 8);立;たつ・たつへん;(none);会意 Compound Ideographic;stand up;A vase that can´t stand up won´t be a vase for long.;He was a stand up guy: he´d lend you the top hat he wears everyday if you asked, and he will turn everything upside down to help you find your tools.
休;キュウ;やす.む、やす.まる、やす.める;;rest, day off, retire, sleep;人: person<br>木: tree, wood;人;ひと・にんべん・ひとやね;(none);会意 Compound Ideographic;rest;Mr T resting by a tree.;Chuck norris rests againsts the tree, but wait, no... the tree rests and stands against him.
先;セン;さき、ま.ず;ぽん;before, ahead, previous, future, precedence;八: eight, eight radical (no. 12);儿;にんにょう・ひとあし;(none);会意 Compound Ideographic;before;I´ve never seen a cow with human legs before!;"Nasty story but it keeps the meaning true to the kanji. ""BEFORE you stick it in a COW and SPREAD the legs (the bottom stroke of this cow looks like two legs) make sure she has HUMAN LEGS""-------------sorry, I´ll remove if I get enough reports, but will keep if I get more stars."
夕;セキ;ゆう;ゆ;evening;夕: evening,  katakana ta radical (no. 36);夕;ゆう・ゆうべ・た;(none);象形 Pictographic;evening;The evening is young, the moon is not full.;"In the evening, I try my best to remember the katakana symbol for ""TA"" (ie. ""ta ta!"")."
本;ホン;もと;まと, ごう;book, present, main, true, real, no. of long things;木: tree, wood;木;き・きへん;(none);指事 Ideographic;book;The origin of a book is paper made out of TREEs. ONE tree can make many books.;An axe cutting a tree to make books.
文;ブン、モン;ふみ、あや;かざり, ふ, も;sentence, literature, style, art, decoration, figures, plan;亠: kettle lid radical (no. 8)<br>乂: mow, cut grass, subdue;文;ぶん・ぶんにょう;(none);象形 Pictographic;sentence;A twist on greenapple: The teacher puts a tophat on all pupils with gramatically correct sentences, while the rest are left with a big red X on their homework.;The teacher in the tophat puts an X on all the grammatically incorrect sentences.
字;ジ;あざ、あざな、-な;;character, letter, word, section of village;宀: shaped crown, katakana u radical (no. 40)<br>子: child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac;子;こ・こへん;(none);会意 Compound Ideographic;character;CHILDren learn Kanji characters underneath a HOUSE.;"Why do I have to wear this roof on my head all the time father? ""Shut up! It builds character!""."
学;ガク;まな.ぶ;たか, のり;study, learning, science;小: small, insignificant<br>冖: wa-shaped crown radical (no. 14)<br>子: child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac;子;こ・こへん;學;会意 Compound Ideographic;study;In the school house there are kids always studying. (BTW, atomiton, this is NOT 字).;Children in schoolhouses are there to study, nothing else!!!
校;コウ、キョウ;;めん;exam, school, printing, proof, correction;木: tree, wood<br>交: mingle, mixing, association, coming & going;木;き・きへん;(none);形声 Phonetic;exam;With the exam scores posted on a TREE, the students MINGLED around looking at the results. test. 試.;Note: this Kanji does not mean exam. It means school. I find this keyword an choice odd as school by itself is not used elsewhere. Examples: 校長 is principal (lit. school chief), 中学校 is junior high school (lit. middle study/knowledge school).
村;ソン;むら;え, むた, ら;town, village;木: tree, wood<br>寸: measurement, foot/10;木;き・きへん;(none);形声 Phonetic;town;If you´ve ever played an old 8 bit or 16 bit RPG, like Dragon Warrior or Final Fantasy or Inindou, you´ll remember that every town was all bordered off by a line of trees with no space in between to get out through. Imagine that the trees were glued together so you could only exit town through the main or side gates, (so you couldn´t escape the important scripted scenes.).;Pfft. At it´s core, a town is just a bunch of wood glued together. Edit - Stop starring this piece of crap story! xD.
町;チョウ;まち;;village, town, block, street;田: rice field, rice paddy<br>丁: street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign;田;た・たへん;(none);形声 Phonetic;village;Actually this means town, like one that has lots of streets and is surrounded by all the rice fields.;"Getting this one confused with Town is easy, so remember it with this rhyme. ""Pillage the village, for the rice and and the tea."" the street primitive on the right looks like a ´t´."
森;シン;もり;もと;forest, woods;木: tree, wood<br>林: grove, forest;木;き・きへん;(none);会意 Compound Ideographic;forest;The higher you go up a mountain the less trees there are, that´s so u dont mess up with their possition like i do.;Another tree planted within a grove turns it into a FOREST.
正;セイ、ショウ;ただ.しい、ただ.す、まさ、まさ.に;おお, くに, ま, まさし, ただし;correct, justice, righteous, 10**40;一: one, one radical (no.1)<br>止: stop, halt;止;とまる・とめる・とめへん;(none);会意 Compound Ideographic;correct;If you do it correct on the first attempt you can stop.;The correct way of learning Japanese? First, stop everything you´re doing. Then, go pick up a copy of Heisig´s book and work from there.
水;スイ;みず、みず-;うず, ずみ, つ, ど, み, みさ, みつ, みな, みん;water;水: water, water radical (no. 85);水;みず・したみず・さんずい;(none);象形 Pictographic;water;The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes, constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig´s story doesn´t do this).;"For those having issues with this* ""A 7K foot pool of water"" Notice it looks like a 7, and a K. Might have to practice writing it a few times."
